0225,OSTALA OPREMA
0292,ISPRAVKA VRIJEDNOST UREĐAJI I INSTALACIJE
28050,UNAPRIJED PLAĆENI RASHODI
5532,BANKARSKE USLUGE
5600,FINANSIJSKI RASHODI IZ ODNOSA S POVEZANIM PRAVNIM LICIMA
01400,OSTALA NEMATERIJALNA SREDSTVA
310,UPISANE NEUPLAĆENE DIONICE
80,VANBILANSNA EVIDENCIJA
53941,TROŠKOVI OSTALIH USLUGA
511,UTROŠENE SIROVINE I MATERIJAL
5390,KOMUNALNE USLUGE I NAKNADE
132,ROBA U PRODAJI NA VELIKO
137,UKALKULISANA RAZLIKA U CIJENI
432,DOBAVLJAČI U ZEMLJI
421,OBAVEZE PO EMITOVANIM KRATKOR.VRIJEDNOSNIM PAPIRIMA
499,OSTALA PASIVNA VREMENSKA RAZGRANIČENJA
200,TRANSAKCIJSKI RAČUNI DOMAĆA VALUTA
208,OSTALA NOVČANA SREDSTVA
211,KUPCI U ZEMLJI
248,OSTALI KRATKOROČNI FINANSIJSKI PLASMANI
232,POTRAŽIVANJA OD ZAPOSLENIKA
233,POTRAŽIVANJA OD DRŽAVNIH ORGANA I INSTITUCIJA
221,POTRAŽIVANJA PO OSNOVU UVOZA ZA TUĐI RAČUN
219,ISPRAVKA VRIJEDNOSTI POTRAŽIVANJA OD KUPACA
280,UNAPRIJED PLAĆENI RASHODI
288,ODLOŽENA POREZNA SREDSTVA
101,SIROVINE I MATERIJAL
102,REZERVNI DIJELOVI
103,AUTOGUME I AMBALAŽA
5562,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
109,ISPRAVKA VRIJEDNOSTI SIROVINA MATERIJALA DJELOVA
512,UTROŠENA ENERGIJA I GORIVO
01460,OSTALA NEMATERIJALNA SREDSTVA
514,OTPIS SITNOG INVENTARA AMBALAŽE I AUTOGUMA
540,AMORTIZACIJA DO VISINE POREZNO PRIZNATIH RASHODA
5207,TROŠKOVI PLAĆA
521,TROŠKOVI NAKNADA PLAĆA
531,TROŠKOVI TRANSPORTNIH USLUGA
532,TROŠKOVI USLUGA ODRŽAVANJA
554,TROŠKOVI POŠTANSKIH I TELEKOMUNIKACIONIH USLUGA
533,TROŠKOVI ZAKUPA
535,TROŠKOVI REKLAME I SPONZORSTVA
552,TROŠKOVI PREMIJA OSIGURANJA
553,TROŠKOVI PLATNOG PROMETA
524,TROŠKOVI OSTALIH PRIMANJA NAKNADA I MATERIJALNIH PRAVA
68851,OSTALE DONACIJE-SPONZORSTVO
551,TROŠKOVI REPREZENTACIJE
483,OBAVEZE ZA OSTALE DOPR.ČLANARINE I SL.KOJE TERETE TROŠK.
5391,TROŠKOVI OSTALIH USLUGA
560,FINANSIJSKI RASHODI IZ ODNOSA S POVEZANIM PRAVNIM LICEM
569,OSTALI FINANSIJSKI RASHODI
556,POREZI KOJI NE ZAVISE OD FINANSIJSKOG REZULTATA I TAKSE
4831,DOPRINOSI ČLANARINE I DRUGA DAVANJA
370,RASPORED TROŠKOVA ZA OBRAČUN UČINAKA (PROIZVOD.I USLUGA)
133,ROBA U MALOPRODAJNIM OBJEKTIMA
136,ROBA U OBRADI I DORADI
138,UKALKULISANI PDV
139,ISPRAVKA VRIJEDNOSTI ROBE
601,PRIHODI OD PRODAJE ROBE NA DOMAĆEM TRŽIŠTU
4210,OBAVEZE PO EMITOVANIM KRATKOROČNIM VRIJEDNOSNIM PAPIRIMA
423,KRATKOROČNI KREDITI UZETI U INOSTRANSTVU
427,KRATKOČNE OBAVEZE PO FER VRIJEDNOSTI KROZ RAČUN DOBITI
450,OBAVEZE ZA NETO PLAĆE I NAKNADE PLAĆA
4501,OBAVEZE TOPLI OBROK
481,OBAVEZE ZA POREZ NA DOBIT
60101,VRIJEDNOST DATIH USLUGA NA DOMAĆEM TRŽIŠTU
4502,OBAVEZE REGRES
5236,TROŠKOVI SLUŽBENIH PUTOVANJA ZAPOSLENIH
60202,RABAT U VP
20503,BLAGAJNA BJASKO
490,UNAPRIJED OBRAČUNATI RASHODI RAZDOBLJA
491,OBRAČUNATI PRIHODI NAREDNOG RAZDOBLJA
300,UDJELI ČLANOVA DRUŠTVA SA OGRANIČENOM ODGOVORNOŠĆU
413,DUGOROČNI KREDITI UZETI U ZEMLJI
321,ZAKONSKE REZERVE
330,REVALORIZACIONE REZERVE IZ OSNOVA REVAL.STALNIH SREDST.
350,GUBITAK RANIJIH GODINA
341,NERASPOREĐENA DOBIT IZVJEŠTAJNE GODINE
351,GUBITAK IZVJEŠTAJNE GODINE
333,NEREALIZ.GUBICI IZ OSN.FIN. SREDSTAVA RASPOL.ZA PRODAJU
332,NEREALIZOVANI DOBICI IZ OSNOVA FIN.SREDST.RASP.ZA PRODAJU
652,PRIHODI OD DONACIJA
662,POZITIVNE KURSNE RAZLIKE
665,NEGATIVNE KURSNE RAZLIKE
678,PRIHODI PO OSNOVU UGOVORENE ZAŠTITE OD RIZIKA
680,PRIHODI OD USKLAĐIVANJA VRIJEDNOSTI NEMATER.SREDSTAVA
